,Squad,Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK
58,Germany,20.833333333333336,26.333333333333336,64.95,3.8333333333333335,42.16666666666667,355.0,3.9499999999999997,8.333333333333334,4.0,8.166666666666666,0.16666666666666666,0.3333333333333333,2.166666666666667,0.3333333333333333,2.0516666666666667,1.2066666666666668,3.255,2.0300000000000002,3.2333333333333334
59,Ghana,19.25,25.30833333333333,48.7,2.8333333333333335,31.166666666666664,270.0,3.0083333333333333,3.0833333333333335,1.6666666666666665,2.5833333333333335,0.5,0.5,2.75,0.0,0.9691666666666667,0.6658333333333333,1.6375,0.8816666666666667,1.55
60,Gibraltar,17.666666666666668,27.2,,2.0,22.0,180.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
61,Greece,21.166666666666664,27.016666666666666,47.3,3.083333333333333,33.916666666666664,285.0,3.158333333333333,2.916666666666667,1.4166666666666667,2.666666666666667,0.25,0.25,4.833333333333334,0.25,0.9233333333333333,0.5158333333333334,1.4391666666666667,0.8658333333333335,1.3816666666666668
62,Grenada,18.0,26.1,,2.0,22.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
63,Guatemala,29.333333333333332,27.166666666666668,,3.3333333333333335,36.666666666666664,300.0,3.3333333333333335,3.0,2.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,5.0,0.0,1.0,0.6666666666666666,1.6666666666666667,0.9166666666666666,1.5833333333333333
64,Guinea,21.333333333333332,25.933333333333334,,2.6666666666666665,29.333333333333332,240.0,2.6666666666666665,2.6666666666666665,2.0,2.0,0.6666666666666666,0.6666666666666666,2.0,0.0,1.2233333333333334,1.0566666666666666,2.276666666666667,1.0566666666666666,2.11
65,Guinea-Bissau,11.0,26.3,,1.0,11.0,90.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
66,Guyana,20.0,27.3,,2.0,22.0,180.0,2.0,6.0,4.0,4.0,2.0,2.0,3.0,0.0,3.0,2.0,5.0,2.0,4.0
67,Haiti,16.0,25.4,,1.5,16.5,135.0,1.5,1.5,1.5,1.5,0.0,0.0,2.5,0.0,1.0,1.0,2.0,1.0,2.0
68,Honduras,19.75,27.80833333333333,49.0,2.5,27.5,225.0,2.5,1.0833333333333335,0.0,0.75,0.3333333333333333,0.3333333333333333,4.75,0.25,0.5275,0.0,0.5275,0.27749999999999997,0.27749999999999997
69,Hungary,21.0,27.5,,2.0,22.0,180.0,2.0,1.0,0.5,1.0,0.0,0.5,3.5,0.0,0.5,0.25,0.75,0.5,0.75
70,IR Iran,19.0,27.5,,1.5,16.5,135.0,1.5,3.5,2.5,3.0,0.5,0.5,1.0,0.0,2.5,1.75,4.25,2.25,4.0
71,Iceland,22.5,28.03333333333333,33.0,3.0,33.0,270.0,3.0,2.333333333333333,0.6666666666666666,1.8333333333333333,0.5,1.0,3.0,0.0,0.7933333333333333,0.19499999999999998,0.9883333333333333,0.6233333333333333,0.8183333333333334
72,India,27.5,25.7,,3.0,33.0,270.0,3.0,2.5,2.0,2.5,0.0,0.0,4.0,0.0,0.75,0.625,1.375,0.75,1.375
73,Indonesia,25.5,23.1,,2.5,27.5,225.0,2.5,5.0,1.5,4.0,1.0,1.0,3.0,0.0,2.085,0.5,2.585,1.665,2.165
74,Iran,15.5,27.6,32.0,3.0,33.0,270.0,3.0,1.0,0.5,0.5,0.5,0.5,5.5,0.0,0.33,0.165,0.5,0.165,0.335
75,Iraq,26.666666666666668,24.766666666666666,,3.0,33.0,270.0,3.0,5.0,2.6666666666666665,4.0,1.0,1.0,3.3333333333333335,0.0,1.5999999999999999,0.8333333333333334,2.433333333333333,1.2,2.033333333333333
76,Israel,21.0,27.799999999999997,,2.0,22.0,180.0,2.0,2.5,2.0,2.5,0.0,0.5,1.5,0.0,1.25,1.0,2.25,1.25,2.25
77,Italy,22.833333333333336,27.71666666666667,55.0,2.3333333333333335,25.666666666666664,210.0,2.3333333333333335,5.333333333333334,3.3333333333333335,4.75,0.5833333333333333,0.5833333333333333,2.3333333333333335,0.25,2.6666666666666665,1.8341666666666667,4.498333333333333,2.4175,4.2491666666666665
78,Jamaica,26.0,26.7,,2.0,22.0,180.0,2.0,2.0,1.3333333333333333,2.0,0.0,0.0,3.3333333333333335,0.0,0.7766666666666667,0.5,1.2766666666666666,0.7766666666666667,1.2766666666666666
79,Japan,21.083333333333336,27.608333333333334,54.35,3.333333333333333,36.66666666666667,305.0,3.3833333333333337,3.5,2.416666666666667,3.083333333333333,0.41666666666666663,0.41666666666666663,3.833333333333333,0.0,1.1400000000000001,0.8825000000000001,2.0208333333333335,1.0358333333333334,1.9166666666666665
80,Jordan,25.666666666666668,26.933333333333334,,5.666666666666667,62.333333333333336,510.0,5.666666666666667,7.333333333333333,3.0,6.666666666666667,0.6666666666666666,1.0,9.666666666666666,1.0,1.5966666666666667,0.35666666666666663,1.9533333333333334,1.2366666666666666,1.5966666666666667
81,Kazakhstan,20.5,28.3,,1.5,16.5,135.0,1.5,0.5,0.0,0.5,0.0,0.0,3.5,0.5,0.25,0.0,0.25,0.25,0.25
82,Kenya,19.5,25.2,,1.5,16.5,135.0,1.5,2.0,2.0,2.0,0.0,0.0,3.0,0.0,1.25,1.25,2.5,1.25,2.5
83,Korea DPR,15.0,26.5,,3.0,35.0,270.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.33,0.0,0.33,0.33,0.33
84,Korea Republic,18.333333333333336,26.866666666666664,44.8,2.5,27.5,225.0,2.5,4.166666666666666,2.1666666666666665,4.0,0.16666666666666666,0.3333333333333333,4.0,0.0,1.6666666666666665,0.945,2.611666666666667,1.5833333333333335,2.5283333333333333
85,Kosovo,28.666666666666668,25.266666666666666,,3.0,33.0,270.0,3.0,6.333333333333333,3.0,5.666666666666667,0.6666666666666666,0.6666666666666666,4.333333333333333,0.0,2.0,1.0566666666666666,3.0566666666666666,1.61,2.6666666666666665
86,Kuwait,33.0,26.4,,5.5,60.5,495.0,5.5,3.0,2.0,3.0,0.0,0.0,9.0,0.5,0.59,0.33999999999999997,0.9299999999999999,0.59,0.9299999999999999
87,Kyrgyz Republic,22.0,25.25,,3.0,33.0,270.0,3.0,5.0,4.0,4.5,0.5,0.5,2.0,1.5,1.375,1.125,2.5,1.25,2.375
88,Laos,18.0,20.5,,2.0,22.0,180.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,1.5,3.5,2.0,3.5
89,Latvia,20.0,25.166666666666668,,1.6666666666666667,18.333333333333332,150.0,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,4.333333333333333,0.3333333333333333,1.1666666666666667,0.8333333333333334,2.0,1.0,1.8333333333333333
90,Lebanon,18.0,27.4,,1.5,16.5,135.0,1.5,1.0,0.5,1.0,0.0,0.0,1.5,0.0,0.75,0.25,1.0,0.75,1.0
91,Lesotho,20.0,26.1,,2.0,22.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Liberia,16.0,23.0,,2.0,22.0,180.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.25,0.75,0.25,0.5
93,Libya,18.666666666666668,26.733333333333334,,2.0,22.0,180.0,2.0,1.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,4.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.25,0.25
94,Liechtenstein,21.333333333333332,25.366666666666664,,2.0,22.0,180.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,0.5,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.6666666666666666
95,Lithuania,26.0,26.566666666666666,,2.3333333333333335,25.666666666666668,210.0,2.3333333333333335,2.6666666666666665,2.0,2.6666666666666665,0.0,0.0,2.6666666666666665,0.0,1.2766666666666666,0.9433333333333334,2.223333333333333,1.2766666666666666,2.223333333333333
96,Luxembourg,22.333333333333332,25.733333333333334,,2.6666666666666665,29.333333333333332,240.0,2.6666666666666665,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,6.333333333333333,0.6666666666666666,0.4166666666666667,0.08333333333333333,0.5,0.25,0.3333333333333333
97,Madagascar,14.0,27.7,,1.0,11.0,90.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
98,Malawi,22.0,24.6,,1.5,16.5,135.0,1.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
99,Malaysia,26.5,27.85,,2.5,27.5,225.0,2.5,2.0,1.5,2.0,0.0,0.5,5.0,0.5,0.915,0.75,1.665,0.915,1.665
100,Maldives,16.0,28.2,,1.0,11.0,90.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,2.0,4.0
101,Mali,18.5,24.25,,2.0,22.0,180.0,2.0,2.0,1.5,2.0,0.0,0.0,6.0,1.0,1.665,1.165,2.835,1.665,2.835
102,Malta,22.333333333333332,25.96666666666667,,2.0,22.0,180.0,2.0,3.0,2.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,1.5,1.0,2.5,1.3333333333333333,2.3333333333333335
103,Mauritania,23.0,25.266666666666666,,2.3333333333333335,25.666666666666668,210.0,2.3333333333333335,1.6666666666666667,1.0,1.6666666666666667,0.0,0.0,2.0,0.3333333333333333,1.0,0.7766666666666667,1.7766666666666666,1.0,1.7766666666666666
104,Mauritius,28.0,27.0,,3.0,33.0,270.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
105,Mexico,31.666666666666664,27.175,51.15,5.25,57.75,472.5,5.25,8.25,6.083333333333333,7.666666666666667,0.5833333333333333,0.5833333333333333,7.0,0.0,1.4875,1.0333333333333332,2.5208333333333335,1.3541666666666667,2.3875
106,Moldova,19.333333333333332,27.5,,1.6666666666666667,18.333333333333332,150.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333
107,Mongolia,20.0,25.6,,2.0,22.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Montenegro,23.0,27.900000000000002,,2.0,22.0,180.0,2.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,0.5,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5
109,Morocco,20.25,27.35,49.0,2.5,27.5,225.0,2.5,2.5,1.5,2.5,0.0,0.0,5.5,0.0,1.085,0.665,1.75,1.085,1.75
110,Mozambique,16.333333333333332,25.8,,1.6666666666666667,18.333333333333332,150.0,1.6666666666666667,2.6666666666666665,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.3333333333333333,2.0,0.0,1.3333333333333333,0.6666666666666666,2.0,1.1666666666666667,1.8333333333333333
111,Myanmar,15.0,26.3,,2.0,22.0,180.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,0.5,1.5,1.0,1.5
112,Namibia,15.0,27.7,,1.0,11.0,90.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0
113,Nepal,27.666666666666668,24.400000000000002,,3.3333333333333335,36.666666666666664,300.0,3.3333333333333335,2.6666666666666665,1.3333333333333333,2.6666666666666665,0.0,0.0,4.666666666666667,0.3333333333333333,0.6233333333333334,0.26666666666666666,0.89,0.6233333333333334,0.89
114,Netherlands,20.333333333333336,27.016666666666666,49.3,4.5,49.5,427.5,4.75,8.333333333333334,3.833333333333333,7.5,0.8333333333333333,0.8333333333333333,3.166666666666667,0.25,1.7816666666666667,0.9916666666666667,2.7733333333333334,1.55,2.541666666666667
115,New Zealand,16.5,26.625,,2.5,27.5,225.0,2.5,2.5,1.0,2.25,0.25,0.25,5.75,0.0,1.0025,0.3325,1.335,0.7525,1.085
116,Nicaragua,25.333333333333332,27.633333333333336,,3.0,33.0,270.0,3.0,3.3333333333333335,1.0,3.3333333333333335,0.0,0.6666666666666666,5.0,0.6666666666666666,1.2766666666666666,0.27666666666666667,1.5566666666666666,1.2766666666666666,1.5566666666666666
117,Niger,18.666666666666668,26.7,,2.0,22.0,180.0,2.0,2.0,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,2.3333333333333335,0.0,1.0,0.0,1.0,0.8333333333333334,0.8333333333333334
118,Nigeria,22.083333333333336,24.933333333333334,49.05,2.916666666666667,32.08333333333333,262.5,2.916666666666667,1.75,1.0833333333333335,1.4166666666666667,0.3333333333333333,0.5833333333333333,3.5,0.0,0.5833333333333333,0.3616666666666667,0.945,0.47333333333333333,0.8333333333333334
119,North Macedonia,20.0,28.0,,2.0,22.0,180.0,2.0,5.0,4.0,4.0,1.0,1.0,4.0,0.0,2.5,2.0,4.5,2.0,4.0
120,Northern Ireland,27.0,27.45,,3.0,33.0,270.0,3.0,4.0,2.0,4.0,0.0,0.5,4.5,0.0,1.375,0.5,1.875,1.375,1.875
121,Norway,20.5,25.299999999999997,,2.0,22.0,180.0,2.0,6.5,5.5,6.0,0.5,0.5,2.0,0.0,3.25,2.75,6.0,3.0,5.75
122,Oman,23.0,26.9,,3.0,33.0,270.0,3.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0
123,Palestine,22.0,27.1,,2.0,22.0,180.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,1.0,0.5,1.0
124,Panama,24.833333333333336,27.8,36.0,3.0,33.0,270.0,3.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,0.0,8.0,0.16666666666666666,0.4983333333333333,0.4983333333333333,1.0016666666666667,0.4983333333333333,1.0016666666666667
125,Paraguay,20.0,28.9,,5.0,55.0,480.0,5.3,3.0,0.0,3.0,0.0,0.0,4.0,0.0,0.56,0.0,0.56,0.56,0.56
126,Peru,19.0,28.0,50.3,2.5,27.5,225.0,2.5,3.0,1.5,3.0,0.0,0.5,3.0,0.0,1.335,0.665,2.0,1.335,2.0
127,Philippines,19.0,30.4,,2.0,22.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
